timestamp,month,source,destination,source_type,destination_type,trade_value_usd,flow_volume,edge_type,provenance,is_observed,is_inherited
2024-02-01T00:00:00+00:00,2024-02,country_gb,country_in,country,country,1330860.904,0.0,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_us,country_in,country,country,1552695.111,0.0,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_cn,country_in,country,country,739013324.615,399821.721,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_203,country_in,country,country,1074.302,1.358,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_fr,country_in,country,country,1656873.277,902.771,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_de,country_in,country,country,4897421.614,5670.01,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_344,country_in,country,country,16518332.34,30235.249,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_372,country_in,country,country,46681.86,25.701,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_380,country_in,country,country,818526.318,450.07,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_jp,country_in,country,country,51113099.162,27712.974,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_kr,country_in,country,country,315367785.332,171382.873,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_my,country_in,country,country,35605322.491,19441.378,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_mx,country_in,country,country,38488286.825,21031.583,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_tw,country_in,country,country,446385570.175,244817.746,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_ph,country_in,country,country,10950531.174,5955.399,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_sg,country_in,country,country,34685737.398,18785.017,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_vn,country_in,country,country,12623494.724,6744.891,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_th,country_in,country,country,10627295.739,5811.279,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_gb,country_in,country,country,392726.81,214.18,trade,observed_comtrade,True,False
2024-02-01T00:00:00+00:00,2024-02,country_us,country_in,country,country,4485902.986,2435.531,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_cn,country_in,country,country,477422322.123,0.0,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_203,country_in,country,country,372136.874,1147.012,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_fr,country_in,country,country,304287.89,483.31,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_de,country_in,country,country,3815667.725,0.0,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_344,country_in,country,country,1666295.723,5079.368,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_372,country_in,country,country,103181.984,0.0,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_380,country_in,country,country,218765.292,0.0,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_jp,country_in,country,country,19420078.264,0.0,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_kr,country_in,country,country,5012951.176,0.0,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_my,country_in,country,country,25017815.94,0.0,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_mx,country_in,country,country,236692.059,0.0,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_tw,country_in,country,country,5907650.266,0.0,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_ph,country_in,country,country,5765774.283,13638.141,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_sg,country_in,country,country,6164741.594,0.0,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_vn,country_in,country,country,78856022.6,13070348.643,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_th,country_in,country,country,21945420.85,275507.035,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_gb,country_in,country,country,537200.891,1764.232,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_us,country_in,country,country,2032371.547,0.0,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_cn,country_in,country,country,811765280.951,440241.954,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_203,country_in,country,country,5842.477,3.17,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_fr,country_in,country,country,1829537.521,1008.012,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_de,country_in,country,country,5584364.254,3070.523,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_344,country_in,country,country,5477157.904,11972.757,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_372,country_in,country,country,6799.263,3.741,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_380,country_in,country,country,92761.898,50.594,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_jp,country_in,country,country,53332244.848,28901.862,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_kr,country_in,country,country,331065354.802,179329.672,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_my,country_in,country,country,29659839.168,16185.272,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_mx,country_in,country,country,29335273.951,16012.116,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_tw,country_in,country,country,512298103.582,280989.485,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_ph,country_in,country,country,21943018.879,12009.863,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_sg,country_in,country,country,31788289.055,17299.011,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_vn,country_in,country,country,20140094.356,10834.75,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_th,country_in,country,country,13713959.012,7820.978,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_gb,country_in,country,country,598832.64,328.872,trade,observed_comtrade,True,False
2024-03-01T00:00:00+00:00,2024-03,country_us,country_in,country,country,4294457.958,2310.381,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_cn,country_in,country,country,304884970.12,0.0,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_203,country_in,country,country,110924.059,0.0,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_fr,country_in,country,country,1071368.833,0.0,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_de,country_in,country,country,3274011.252,0.0,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_344,country_in,country,country,1665409.404,6076.333,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_372,country_in,country,country,16169.549,0.0,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_380,country_in,country,country,315228.71,0.0,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_jp,country_in,country,country,18783844.153,0.0,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_kr,country_in,country,country,4138633.332,0.0,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_my,country_in,country,country,11194607.517,0.0,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_mx,country_in,country,country,229347.887,585.467,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_tw,country_in,country,country,8000580.117,21986.193,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_ph,country_in,country,country,8237295.756,0.0,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_sg,country_in,country,country,8118691.365,484118.766,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_vn,country_in,country,country,97412603.022,0.0,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_th,country_in,country,country,18898996.347,232171.168,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_gb,country_in,country,country,747054.15,0.0,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_us,country_in,country,country,2961965.549,0.0,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_cn,country_in,country,country,759635925.248,412522.327,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_203,country_in,country,country,3984.004,2.194,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_fr,country_in,country,country,1319154.63,722.779,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_de,country_in,country,country,4748820.792,2622.869,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_344,country_in,country,country,9648522.163,21740.565,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_372,country_in,country,country,37412.376,20.555,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_380,country_in,country,country,173902.211,95.656,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_jp,country_in,country,country,45356448.488,24379.8,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_kr,country_in,country,country,313887380.469,170709.452,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_my,country_in,country,country,40105055.673,21934.985,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_mx,country_in,country,country,38240304.437,20992.087,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_tw,country_in,country,country,462792020.397,253962.124,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_ph,country_in,country,country,10060562.944,5505.101,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_sg,country_in,country,country,30707518.692,16664.951,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_vn,country_in,country,country,8927527.423,4810.689,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_th,country_in,country,country,11112705.254,6062.388,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_gb,country_in,country,country,545752.255,330.319,trade,observed_comtrade,True,False
2024-04-01T00:00:00+00:00,2024-04,country_us,country_in,country,country,5370877.105,2837.317,trade,observed_comtrade,True,False
2024-05-01T00:00:00+00:00,2024-05,country_cn,country_in,country,country,188759304.889,0.0,trade,observed_comtrade,True,False
2024-05-01T00:00:00+00:00,2024-05,country_203,country_in,country,country,63535.112,265.304,trade,observed_comtrade,True,False
