month,reporter_code,partner_code,commodity_code,flow_code,trade_value_usd,flow_volume,published_at,available_at,vintage_date,source
2024-01,699,0,6109,M,12299124.41,386201.464,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,36,6109,M,51.677,1.417,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,40,6109,M,1668.304,56.295,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,50,6109,M,5550097.427,174896.488,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,56,6109,M,3108.162,104.881,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,76,6109,M,2155.39,72.731,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,100,6109,M,19028.362,642.086,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,104,6109,M,114822.708,3531.697,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,116,6109,M,856388.674,28307.681,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,124,6109,M,31.42,0.862,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,144,6109,M,54387.264,1701.999,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,156,6109,M,2307839.774,69994.183,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,208,6109,M,2291.476,67.654,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,251,6109,M,17003.669,573.765,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,276,6109,M,8630.631,273.94,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,344,6109,M,373142.154,11195.224,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,360,6109,M,245459.303,7836.135,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,380,6109,M,235024.75,7830.679,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,392,6109,M,4712.628,156.222,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,410,6109,M,9.214,0.311,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,418,6109,M,1029.482,28.228,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,458,6109,M,32702.375,1103.496,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
