pair,n,n_clusters,r2_a,r2_b,dm_p,pairs_p,wild_p
"T1: AR(1,12) vs ar1_only",187,17,0.21499687480643281,0.17121706125573788,0.223911296444693,0.0194,0.0369
"T1: AR(1,12) vs gcn",187,17,0.21499687480643281,0.11851563074988813,0.12875133113531545,0.0146,0.022
"T1: AR(1,12) vs tgn_no_memory",187,17,0.21499687480643281,0.12984777264605263,0.17295727192111188,0.0422,0.0635
"T1: AR(1,12) vs random_forest",187,17,0.21499687480643281,0.11826624878115499,0.1698099783524838,0.0536,0.0698
"T1: AR(1,12) vs tgn",187,17,0.21499687480643281,0.13348858293023858,0.18690125160091076,0.0478,0.0728
"T1: AR(1,12) vs ar_ridge",187,17,0.21499687480643281,0.13845673179061913,0.23718167504324406,0.0732,0.112
