target,eval,n,train_months,zero,persistence,ar1,ar1_12,ar_ridge_3feat,random_forest
T1,2023-02..2023-07,108,8,-0.005364688909818227,-1.8722640611459336,0.14618159380295026,0.21315801370885679,0.1644955527849722,0.059744458026041
T0,2023-02..2023-07,108,8,-0.11594418781273497,0.006112862518833029,0.0641555181706267,0.044786501960524805,0.10316230173566932,0.02765008195461338
T1,2023-08..2024-01,106,14,-0.023493976169610464,-1.6721253632511495,0.11975392756582204,0.17241821404676072,0.12309727861160558,0.06149698124313174
T0,2023-08..2024-01,108,14,-0.10535220744381557,0.28467265267516906,0.31413994130746603,0.31293998912053067,0.33418725859047094,0.2228751864339884
T1,2024-02..2024-07,102,20,-0.012328545381451894,-1.8551184034418848,0.1464947183167139,0.19489911823085326,0.18945173516925273,0.18606814533142724
T0,2024-02..2024-07,107,20,-0.008639700992633115,0.7075367411535395,0.648193128575469,0.648477933355248,0.6474251097939189,0.434306644257916
T1,2024-08..2024-12,68,26,-0.0032244165865009666,-2.213143184578854,0.2093390307451134,0.24452612083757685,0.11588867808418424,0.08894038234008528
T0,2024-08..2024-12,68,26,-0.029523248377824274,0.21085179162023604,0.32592170639198736,0.3260272813063577,0.34360406436295376,0.11468076713696962
