target,model,mean,sd,epochs,n_seeds,per_seed
T1,gcn,0.07671055793762208,0.02476037799379368,80,5,0.0486 0.1189 0.0681 0.0882 0.0597
T1,tgn,0.12534475326538086,0.023886124802137525,80,5,0.1329 0.1367 0.1383 0.1410 0.0779
T1,tgn_no_mem,0.12310216426849366,0.016322046256388466,80,5,0.0929 0.1262 0.1422 0.1248 0.1294
