target,model,mean,sd,epochs,n_seeds,per_seed
T0,gcn,0.5689978003501892,0.05426248000071334,80,5,0.5104 0.5591 0.6707 0.5402 0.5646
T0,tgn,0.5385570406913758,0.0900268701474928,80,5,0.4579 0.4141 0.5554 0.6490 0.6164
T0,tgn_no_mem,0.5993894338607788,0.04730465646826636,80,5,0.5959 0.6683 0.6296 0.5300 0.5732
