event_id,event_date,reference_date,published_at,available_at,country,actor1_country,actor2_country,event_code,event_base_code,event_root_code,avg_tone,source_url,is_labor_unrest,is_supply_chain_relevant,source_file_date,source,vintage_date
1149157553,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,CHN,CHN,TWN,050,050,05,-0.8,https://news.yahoo.com/china-xi-vows-reunification-taiwan-220733099.html,0,0,2024-01-01,gdelt_event_database,2026-08-28T17:47:19.152359+00:00
1149157553,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,TWN,CHN,TWN,050,050,05,-0.8,https://news.yahoo.com/china-xi-vows-reunification-taiwan-220733099.html,0,0,2024-01-01,gdelt_event_database,2026-08-28T17:47:19.152359+00:00
1149157554,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,FRA,FRA,,051,051,05,0.0,https://nichegamer.com/future-boy-conan-getting-stage-play/,0,0,2024-01-01,gdelt_event_database,2026-08-28T17:47:19.152359+00:00
1149157555,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,JPN,JPN,,051,051,05,0.0,https://nichegamer.com/future-boy-conan-getting-stage-play/,0,0,2024-01-01,gdelt_event_database,2026-08-28T17:47:19.152359+00:00
1149157556,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,FRA,JPN,FRA,051,051,05,0.0,https://nichegamer.com/future-boy-conan-getting-stage-play/,0,0,2024-01-01,gdelt_event_database,2026-08-28T17:47:19.152359+00:00
1149157556,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,JPN,JPN,FRA,051,051,05,0.0,https://nichegamer.com/future-boy-conan-getting-stage-play/,0,0,2024-01-01,gdelt_event_database,2026-08-28T17:47:19.152359+00:00
1149157557,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,CHN,TWN,CHN,050,050,05,-0.8,https://news.yahoo.com/china-xi-vows-reunification-taiwan-220733099.html,0,0,2024-01-01,gdelt_event_database,2026-08-28T17:47:19.152359+00:00
1149157557,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,TWN,TWN,CHN,050,050,05,-0.8,https://news.yahoo.com/china-xi-vows-reunification-taiwan-220733099.html,0,0,2024-01-01,gdelt_event_database,2026-08-28T17:47:19.152359+00:00
1149157561,2023-12-25 00:00:00+00:00,2023-12-25 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,CHN,CHN,CHN,013,013,01,-0.570357751277685,https://news.yahoo.com/china-xi-vows-reunification-taiwan-220733099.html,0,0,2024-01-01,gdelt_event_database,2026-08-28T17:47:19.152359+00:00
1149157562,2023-12-25 00:00:00+00:00,2023-12-25 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,GBR,GBR,,112,112,11,-1.48973264582768,https://news.yahoo.com/venezuelan-president-nicolas-maduro-mobilizes-223927592.html,0,0,2024-01-01,gdelt_event_database,2026-08-28T17:47:19.152359+00:00
