target,n_test,n_clusters,ar1_only,ar1_plus_flow,ar_ridge,persistence,wild_p_flow_vs_ar1,dm_p_flow_vs_ar1,pairs_p_flow_vs_ar1,wild_p_ar1_vs_zero,dm_p_ar1_vs_zero,ar1_coef
T1,187,17,0.17121706125573788,0.15007475540672954,0.13845673179061913,-1.9088976123228454,0.4833,0.5369433333079456,0.4568,0.0013,0.0030673933103950723,-0.055009194732898614
T0,193,18,0.5665917178207858,0.5716675856989483,0.5716675856989484,0.6476144933678263,0.6655,0.5298149072829366,0.6344,0.0023,0.0005556884695623321,0.10049178331635153
