eval,T0,n,T1,T4
2022-02..2022-07,-0.16907456540330879,108,-1.7670706067624193,0.3323937157891437
2022-08..2023-01,0.030691171766003555,108,-1.5527538019538274,-0.25575647500561716
2023-02..2023-07,0.006112862518833029,108,-1.8722640611459336,0.4886528714931315
2023-08..2024-01,0.28467265267516906,106,-1.6721253632511495,0.5144510095240187
2024-02..2024-07,0.7075367411535395,102,-1.8551184034418848,0.4766387454256341
2024-08..2024-12,0.21085179162023604,68,-2.213143184578854,0.4128139174251585
