k,target,overlap,ceiling,lag1_ac,gap,theory_ma1,theory_ar1,n_test,zero,persistence,persist_origin_mean,ar_ridge,tuned_ridge_7feat
1.0,H1,0.0,0.0,-0.4493955779616968,0.4493955779616968,-0.4493955779616968,-0.4493955779616968,187,-2.8189937036238177e-05,-1.9088976123228454,-1.7438664473110428,0.15007475540672954,-0.032066222661915944
2.0,H2,0.5,0.5,0.055999757464039096,0.44400024253596093,0.09190703890638721,0.2753022110191516,187,-0.0005356189433238789,-0.3493673316199526,-0.7481158227113489,0.23494808420554703,-0.06325611771786366
3.0,H3,0.6666666666666666,0.6666666666666666,0.19497886089059882,0.47168780577606784,0.16834224092636646,0.3209626945830768,187,-0.0005764192915682642,-0.5275859478706977,-0.364024721796788,0.17672251483383072,0.005717425510421759
6.0,H6,0.8333333333333334,0.8333333333333334,0.49305229072534806,0.3402810426079853,0.33600887247144035,0.6331739204183,187,-0.0011906670375692041,0.09826399368707739,-0.22790691657787088,0.27789939744425773,-0.08163706960751238
12.0,H12,0.9166666666666666,0.9166666666666666,0.6768341112587717,0.23983255540789494,0.5268058085474483,0.7994697696284617,187,-0.013119863694336154,0.48895265854616754,0.3112759734452622,0.38528201283467023,-0.1277085729070906
,T0(ref),,,0.3208819949566075,,,,193,-0.007466350009263767,0.6476144933678263,0.17198777254204728,0.5716675856989484,0.37835544471087545
